province,district_name,emis_number,centre_number,centre_name,quantile,_2021_progressed(%),_2021_total_wrote,_2021_total_archived,_2021_achived,_2022_progressed,_2022_total_wrote,_2022_total_archived,_2022_achived,_2023_progressed,_2023_total_wrote,_2023total_archeive,_2023_achieved(%)
EASTERN CAPE,ALFRED NZO WEST,200201085,4312002,The Lighthouse Academy of Learning,99,,,,,,,,,0,30,20,66.7
EASTERN CAPE,ALFRED NZO WEST,200501203,4251082,Tholang Senior Secondary School,3,48,347,216,62.2,124 354,,240,67.8,88,361,269,74.5
EASTERN CAPE,ALFRED NZO WEST,0,4251085,Toleni Senior Secondary School,5,0,140,63,45.0,0 128,,86,67.2,0,268,213,79.5
EASTERN CAPE,ALFRED NZO WEST,200500876,4251084,Tyelimhlophe Senior Secondary School,2,0,61,52,85.2,080,,73,91.3,0,74,68,91.9
EASTERN CAPE,ALFRED NZO WEST,200501464,4252069,Zanokhanyo Baptist Comprehensive Sch,99,0,24,19,79.2,0,26,23,88.5,0,47,43,91.5
EASTERN CAPE,ALFRED NZO WEST,200501321,4251070,Zibi Meyer Senior Secondary School,2,7,75,35,46.7,6,33,29,87.9,3,52,49,94.2
EASTERN CAPE,ALFRED NZO WEST,200501322,4251071,Zibokwana Senior Secondary School,2,1,102,86,84.3,2,100,89,89.0,9,96,82,85.4
EASTERN CAPE,ALFRED NZO WEST,200501331,4251072,Zinyosini Senior Secondary School,1,12,150,147,98.0,6,184,177,96.2,11,156,151,96.8
EASTERN CAPE,ALFRED NZO WEST,200501338,4251073,Zwelakhe Senior Secondary School,2,22,261,225,86.2,6,203,186,91.6,9,223,205,91.9
EASTERN CAPE,ALFRED NZO WEST,200501381,4251074,Zwelitsha Senior Secondary School,1,13,138,82,59.4,14,138,81,58.7,7,156,116,74.4
EASTERN CAPE,AMATHOLE EAST,200300003,4301001,Amabele Senior Secondary School,1,0,49,30,61.2,1,48,29,60.4,7,53,36,67.9
EASTERN CAPE,AMATHOLE EAST,200300008,4301002,Badi Senior Secondary School,2,0,78,59,75.6,0,62,54,87.1,8,68,64,94.1
EASTERN CAPE,AMATHOLE EAST,200300011,4301003,Bashee Senior Secondary School,1,3,96,41,42.7,1,114,68,59.6,11,104,75,72.1
EASTERN CAPE,AMATHOLE EAST,200300869,4302004,Bethel College High School,99,0,26,24,92.3,0,38,32,84.2,0,22,19,86.4
EASTERN CAPE,AMATHOLE EAST,200300024,4301005,Blythswood Institution,3,0,90,43,47.8,0,137,78,56.9,1,129,98,76.0
EASTERN CAPE,AMATHOLE EAST,200300028,4301006,Bomela Senior Secondary School,2,9,29,23,79.3,0,31,28,90.3,2,34,29,85.3
EASTERN CAPE,AMATHOLE EAST,200300831,4301008,Bonkolo Senior Secondary School,3,1,81,56,69.1,0,84,60,71.4,1,109,100,91.7
EASTERN CAPE,AMATHOLE EAST,0,4302092,Bulungula College,2,0,44,28,63.6,0,36,36,100.0,0,36,35,97.2
EASTERN CAPE,AMATHOLE EAST,200300741,4301009,Butterworth High School,4,3,156,98,62.8,11,108,82,75.9,10,159,109,68.6
EASTERN CAPE,AMATHOLE EAST,500200416,4305004,Butterworth Training Centre,1,,,,,,,,,0,17,7,41.2
EASTERN CAPE,AMATHOLE EAST,200300884,4302093,Canaan High School,99,,,,,,,,,0,27,22,81.5
EASTERN CAPE,AMATHOLE EAST,200300051,4301011,Colosa Senior Secondary School,2,0,123,86,69.9,0,141,84,59.6,0,110,108,98.2
EASTERN CAPE,AMATHOLE EAST,200300053,4301012,Cunningham Senior Secondary School,3,4,48,38,79.2,3,62,51,82.3,5,55,45,81.8
EASTERN CAPE,AMATHOLE EAST,200300057,4301013,Daluhlanga Senior Secondary School,2,0,60,38,63.3,0,56,38,67.9,21,57,37,64.9
EASTERN CAPE,AMATHOLE EAST,200300836,4301014,Dinizulu Senior Secondary School,2,1,79,65,82.3,6,71,54,76.1,8,81,68,84.0
EASTERN CAPE,AMATHOLE EAST,200300071,4301015,Dondashe Senior Secondary School,1,4,40,33,82.5,0,28,25,89.3,1,36,31,86.1
EASTERN CAPE,AMATHOLE EAST,200300875,4301016,Dumalisile Comprehensive High School,1,0,105,63,60.0,0,63,45,71.4,5,69,56,81.2
EASTERN CAPE,AMATHOLE EAST,200400149,4301017,Elliotdale Tech,3,0,208,169,81.3,10,166,153,92.2,8,185,178,96.2
EASTERN CAPE,AMATHOLE EAST,200300873,4302018,Emmanuel High School,99,0,35,30,85.7,3,44,41,93.2,0,31,26,83.9
EASTERN CAPE,AMATHOLE EAST,200300086,4301019,Enoch Mamba Senior Secondary School,1,8,98,73,74.5,0,110,97,88.2,1,97,87,89.7
EASTERN CAPE,AMATHOLE EAST,200401413,4302020,Executive Academy,99,0,484,450,93.0,0,439,421,95.9,0,485,480,99.0
EASTERN CAPE,AMATHOLE EAST,200300788,4301021,Ezingcuka Senior Secondary School,1,0,100,73,73.0,2,121,72,59.5,0,85,59,69.4
EASTERN CAPE,AMATHOLE EAST,200300744,4301022,Ezingqayi Senior Secondary School,2,5,70,52,74.3,0,76,71,93.4,1,102,81,79.4
EASTERN CAPE,AMATHOLE EAST,200300093,4301023,Ezizweni Senior Secondary School,2,0,112,76,67.9,1,88,75,85.2,0,124,111,89.5
EASTERN CAPE,AMATHOLE EAST,200300100,4301024,Fort Malan Senior Secondary School,2,18,111,87,78.4,0,122,107,87.7,11,136,107,78.7
EASTERN CAPE,AMATHOLE EAST,200400194,4301025,Ganizulu Senior Secondary School,1,0,120,93,77.5,0,168,138,82.1,27,144,134,93.1
EASTERN CAPE,AMATHOLE EAST,200300787,4301026,Gobe Commercial School,2,34,115,82,71.3,2,142,103,72.5,39,125,116,92.8
EASTERN CAPE,AMATHOLE EAST,200300123,4301027,Gwadana Senior Secondary School,2,0,56,41,73.2,0,43,29,67.4,0,49,41,83.7
EASTERN CAPE,AMATHOLE EAST,200400250,4301028,Gwebityala Senior Secondary School,1,2,235,178,75.7,0,182,154,84.6,22,211,184,87.2
EASTERN CAPE,AMATHOLE EAST,200300124,4301029,Gwelane Senior Secondary School,1,5,63,46,73.0,0,56,41,73.2,9,59,43,72.9
EASTERN CAPE,AMATHOLE EAST,200401414,4302030,Idutywa School of Excellence,99,22,243,210,86.4,0,354,278,78.5,0,254,214,84.3
EASTERN CAPE,AMATHOLE EAST,200300149,4301031,Isolomzi Senior Secondary School,1,8,76,74,97.4,0,73,73,100.0,5,79,67,84.8
EASTERN CAPE,AMATHOLE EAST,200400280,4301032,Jalamba Senior Secondary School,3,0,72,58,80.6,0,83,70,84.3,11,92,75,81.5
EASTERN CAPE,AMATHOLE EAST,200300723,4301033,Jj Njeza Senior Secondary School,1,0,49,41,83.7,3,65,53,81.5,3,48,40,83.3
EASTERN CAPE,AMATHOLE EAST,200300165,4301034,Jongabantu Senior Secondary School,2,16,68,59,86.8,11,86,74,86.0,12,61,54,88.5
EASTERN CAPE,AMATHOLE EAST,200300168,4301035,Jongilanga Senior Secondary School,1,26,56,53,94.6,0,91,88,96.7,2,121,114,94.2
EASTERN CAPE,AMATHOLE EAST,200300169,4301036,Jongilizwe Senior Secondary School,3,0,40,26,65.0,0,28,28,100.0,0,30,25,83.3
EASTERN CAPE,AMATHOLE EAST,200300153,4301037,Js Skenjana Senior Secondary School,3,21,281,213,75.8,0,268,168,62.7,0,232,178,76.7
EASTERN CAPE,AMATHOLE EAST,200300189,4301038,Krazukile Senior Secondary School,1,0,55,34,61.8,3,92,56,60.9,1,83,74,89.2
EASTERN CAPE,AMATHOLE EAST,200300782,4301040,Lamplough Senior Secondary School,3,16,262,187,71.4,47,335,222,66.3,10,174,123,70.7
EASTERN CAPE,AMATHOLE EAST,200300202,4301041,Lm Malgas Senior Secondary School,2,0,38,19,50.0,0,20,16,80.0,0,19,14,73.7
EASTERN CAPE,AMATHOLE EAST,200300850,4301042,Lurwayizo Senior Secondary School,1,1,18,8,44.4,0,11,10,90.9,3,16,8,50.0
EASTERN CAPE,AMATHOLE EAST,200300256,4301043,Maboboti Senior Secondary School,1,1,35,28,80.0,0,35,29,82.9,8,44,33,75.0
EASTERN CAPE,AMATHOLE EAST,200300258,4301044,Macibe Senior Secondary School,2,0,82,72,87.8,0,69,33,47.8,10,77,63,81.8
EASTERN CAPE,AMATHOLE EAST,200300295,4301045,Mathumbu Senior Secondary School,1,0,27,23,85.2,0,36,26,72.2,8,29,16,55.2
EASTERN CAPE,AMATHOLE EAST,200300801,4301046,Mazizini Senior Secondary School,2,22,123,118,95.9,0,238,207,87.0,0,187,179,95.7
EASTERN CAPE,AMATHOLE EAST,200300314,4301047,Mdeni Senior Secondary School,1,5,54,46,85.2,0,217,186,85.7,0,337,286,84.9
EASTERN CAPE,AMATHOLE EAST,200300846,4301048,Mente Senior Secondary School,1,0,36,24,66.7,4,39,22,56.4,1,28,15,53.6
EASTERN CAPE,AMATHOLE EAST,200300329,4301049,Mgomanzi Senior Secondary School,3,0,19,8,42.1,0,22,18,81.8,0,32,29,90.6
EASTERN CAPE,AMATHOLE EAST,200300868,4302050,Mida School,99,3,165,145,87.9,3,148,120,81.1,2,137,121,88.3
